2025-10-20 19:58:33.148 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:203)
2025-10-20 19:58:33.384 | debug    |           Metal | Found 1 FD Tunnels originating from MMIO Device 0 (tunnels_from_mmio_device.cpp:66)
2025-10-20 19:58:33.384 | debug    |           Metal | Each FD Tunnel is 1 deep. (tunnels_from_mmio_device.cpp:99)
2025-10-20 19:58:33.439 | debug    |           Metal | Using mesh graph descriptor: /localdev/jameszianxu/clean/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal/tt_metal/fabric/mesh_graph_descriptors/n300_mesh_graph_descriptor.textproto (metal_context.cpp:617)
2025-10-20 19:58:33.442 | debug    |           Metal | Found 1 FD Tunnels originating from MMIO Device 0 (tunnels_from_mmio_device.cpp:66)
2025-10-20 19:58:33.442 | debug    |           Metal | Each FD Tunnel is 1 deep. (tunnels_from_mmio_device.cpp:99)
2025-10-20 19:58:33.443 | debug    |           Metal | Found 1 FD Tunnels originating from MMIO Device 0 (tunnels_from_mmio_device.cpp:66)
2025-10-20 19:58:33.443 | debug    |           Metal | Each FD Tunnel is 1 deep. (tunnels_from_mmio_device.cpp:99)
2025-10-20 19:58:33.444 | debug    |           Metal | DevicePool initialize (device_pool.cpp:237)
2025-10-20 19:58:33.455 | debug    |           Metal | AI CLK for device 0 is:   1000 MHz (metal_context.cpp:151)
2025-10-20 19:58:33.457 | debug    |           Metal | Configured partition params: mem_mailbox_base:0x10, storage_core_bank_size:0x0, worker_l1_size:0x16E000, l1_unreserved_base:0x18B20, l1_small_size:0x0, disable_interleaved:false, l1_alignment:16 (l1_banking_allocator.cpp:211)
2025-10-20 19:58:33.457 | debug    |           Metal | Derived partition params: storage_core_unreserved_base:0x10, l1_bank_size:0x1554E0, interleaved_address_limit:0x18B30, allocatable_l1_size:0x1554E0, small_interleaved_address_limit:0x16E000, small_alloc_offset:0x16E000 (l1_banking_allocator.cpp:225)
2025-10-20 19:58:34.394 | debug    |           Metal | AI CLK for device 1 is:   1000 MHz (metal_context.cpp:151)
2025-10-20 19:58:34.395 | debug    |           Metal | Configured partition params: mem_mailbox_base:0x10, storage_core_bank_size:0x0, worker_l1_size:0x16E000, l1_unreserved_base:0x18B20, l1_small_size:0x0, disable_interleaved:false, l1_alignment:16 (l1_banking_allocator.cpp:211)
2025-10-20 19:58:34.395 | debug    |           Metal | Derived partition params: storage_core_unreserved_base:0x10, l1_bank_size:0x1554E0, interleaved_address_limit:0x18B30, allocatable_l1_size:0x1554E0, small_interleaved_address_limit:0x16E000, small_alloc_offset:0x16E000 (l1_banking_allocator.cpp:225)
2025-10-20 19:58:34.400 | debug    |          Device | Set internal routing bit true (tt_cluster.cpp:1247)
2025-10-20 19:58:34.412 | info     |           Metal | While initializing device 0, active ethernet dispatch core (x=21,y=17) detected as still running, issuing exit signal. (metal_context.cpp:644)
2025-10-20 19:58:34.412 | info     |           Metal | While initializing device 0, active ethernet dispatch core (x=18,y=17) detected as still running, issuing exit signal. (metal_context.cpp:644)
2025-10-20 19:58:34.412 | info     |           Metal | While initializing device 0, active ethernet dispatch core (x=25,y=17) detected as still running, issuing exit signal. (metal_context.cpp:644)
2025-10-20 19:58:34.412 | critical |          Always | Read unexpected run_mailbox value from core (x=25,y=17) (assert.hpp:103)
2025-10-20 19:58:34.455 | warning  |          Always | Detected dispatch kernels still running but failed to complete an early exit. This may happen from time to time following a reset, continuing to FW initialization... (metal_context.cpp:681)
2025-10-20 19:58:34.457 | debug    |           Metal | Initializing worker cores (metal_context.cpp:1226)
2025-10-20 19:58:34.458 | debug    |           Metal | RISC (x=18,y=18) DM0 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//brisc/brisc.elf binary size: 3848 in bytes (metal_context.cpp:950)
2025-10-20 19:58:34.458 | debug    |           Metal | RISC (x=18,y=18) DM1 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//ncrisc/ncrisc.elf binary size: 1404 in bytes (metal_context.cpp:950)
2025-10-20 19:58:34.459 | debug    |           Metal | RISC (x=18,y=18) DM0 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//trisc0/trisc0.elf binary size: 936 in bytes (metal_context.cpp:950)
2025-10-20 19:58:34.459 | debug    |           Metal | RISC (x=18,y=18) DM1 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//trisc1/trisc1.elf binary size: 524 in bytes (metal_context.cpp:950)
2025-10-20 19:58:34.459 | debug    |           Metal | RISC (x=18,y=18) DM2 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//trisc2/trisc2.elf binary size: 892 in bytes (metal_context.cpp:950)
2025-10-20 19:58:34.459 | debug    |           Metal | RISC (x=19,y=18) DM0 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//brisc/brisc.elf binary size: 3848 in bytes (metal_context.cpp:950)
2025-10-20 19:58:34.459 | debug    |           Metal | RISC (x=19,y=18) DM1 fw /home/jameszianxu/.cache/tt-metal-cache/4eff6bc65a/97694384/firmware//ncrisc/ncrisc.elf binary size: 1404 in bytes (metal_context.cpp:950)
