WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-27 20:46:41.151 (   0.000s) [        95479480]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-11-27 20:46:41.151 (   0.000s) [        95479480]     client_instance.cc:613      1| ClientInstance::PJRT_Client_Create
2025-11-27 20:46:41.159 (   0.008s) [        95479480]     client_instance.cc:152      1| ClientInstance::ClientInstance
2025-11-27 20:46:41.160 (   0.008s) [        95479480]     client_instance.cc:173      1| ClientInstance::Initialize
2025-11-27 20:46:43.237 (   2.085s) [        95479480]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2025-11-27 20:46:43.237 (   2.085s) [        95479480]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2025-11-27 20:46:43.237 (   2.085s) [        95479480]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     client_instance.cc:667      1| ClientInstance::PJRT_Client_PlatformVersion
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     client_instance.cc:648      1| ClientInstance::PJRT_Client_PlatformName
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     client_instance.cc:678      1| ClientInstance::PJRT_Client_Devices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     client_instance.cc:691      1| ClientInstance::PJRT_Client_AddressableDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     client_instance.cc:741      1| ClientInstance::PJRT_Client_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-27 20:46:43.237 (   2.085s) [        95479480]   plugin_attributes.cc:64       1| PluginAttributes::PJRT_Plugin_Attributes
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.085s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-27 20:46:43.237 (   2.086s) [        95479480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
