WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-26 19:57:55.838 (   0.000s) [        E0290480]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-11-26 19:57:55.838 (   0.000s) [        E0290480]     client_instance.cc:613      1| ClientInstance::PJRT_Client_Create
2025-11-26 19:57:55.846 (   0.007s) [        E0290480]     client_instance.cc:152      1| ClientInstance::ClientInstance
2025-11-26 19:57:55.846 (   0.008s) [        E0290480]     client_instance.cc:173      1| ClientInstance::Initialize
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]     client_instance.cc:667      1| ClientInstance::PJRT_Client_PlatformVersion
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]     client_instance.cc:648      1| ClientInstance::PJRT_Client_PlatformName
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]     client_instance.cc:678      1| ClientInstance::PJRT_Client_Devices
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.987s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     client_instance.cc:691      1| ClientInstance::PJRT_Client_AddressableDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     client_instance.cc:741      1| ClientInstance::PJRT_Client_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]   plugin_attributes.cc:64       1| PluginAttributes::PJRT_Plugin_Attributes
2025-11-26 19:57:57.826937: W torch_xla/csrc/runtime/profiler.cpp:88] Profiler API not found for PJRT plugin
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.826 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 19:57:57.827 (   1.988s) [        E0290480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
