Using PJRT plugin directory: /localdev/jameszianxu/tt-xla/python_package/pjrt_plugin_tt
Using TT-Metal from the source tree: /localdev/jameszianxu/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal
WARNING: TT plugin is setting XLA_STABLEHLO_COMPILE to 1. This is required for TT PJRT plugin to work correctly.
============================= test session starts ==============================
platform linux -- Python 3.11.14, pytest-8.4.2, pluggy-1.6.0 -- /localdev/jameszianxu/tt-xla/venv/bin/python
cachedir: .pytest_cache
metadata: {'Python': '3.11.14', 'Platform': 'Linux-5.15.0-142-generic-x86_64-with-glibc2.35', 'Packages': {'pytest': '8.4.2', 'pluggy': '1.6.0'}, 'Plugins': {'metadata': '3.1.1', 'split': '0.10.0', 'jaxtyping': '0.3.4', 'forked': '1.6.0', 'anyio': '4.12.0', 'json-report': '1.5.0'}}
rootdir: /localdev/jameszianxu/tt-xla
configfile: pytest.ini
plugins: metadata-3.1.1, split-0.10.0, jaxtyping-0.3.4, forked-1.6.0, anyio-4.12.0, json-report-1.5.0
collecting ... collected 1 item

tests/torch/graphs/test_attention.py::test_qwen2_5_attention_prefill_push[7b_instruct-1024-llmbox] 2026-01-05 17:22:57.939 (   0.000s) [        7BAA3480]   plugin_attributes.cc:60       1| PluginAttributes::PJRT_Plugin_Initialize
2026-01-05 17:22:57.939 (   0.000s) [        7BAA3480]     client_instance.cc:553      1| ClientInstance::PJRT_Client_Create
2026-01-05 17:22:57.941 (   0.002s) [        7BAA3480]     client_instance.cc:177      1| ClientInstance::ClientInstance
2026-01-05 17:22:57.941 (   0.002s) [        7BAA3480]     client_instance.cc:198      1| ClientInstance::Initialize
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     client_instance.cc:607      1| ClientInstance::PJRT_Client_PlatformVersion
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     client_instance.cc:588      1| ClientInstance::PJRT_Client_PlatformName
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     client_instance.cc:618      1| ClientInstance::PJRT_Client_Devices
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-05 17:23:09.689 (  11.750s) [        7BAA3480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-05 17:23:09.690 (  11.750s) [        7BAA3480]     client_instance.cc:631      1| ClientInstance::PJRT_Client_AddressableDevices
2026-01-05 17:23:09.690 (  11.750s) [        7BAA3480]     client_instance.cc:681      1| ClientInstance::PJRT_Client_AddressableMemories
2026-01-05 17:23:09.690 (  11.750s) [        7BAA3480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
