WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-26 17:30:24.217 (   0.000s) [         CA41480]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-11-26 17:30:24.217 (   0.000s) [         CA41480]     client_instance.cc:613      1| ClientInstance::PJRT_Client_Create
2025-11-26 17:30:24.224 (   0.008s) [         CA41480]     client_instance.cc:152      1| ClientInstance::ClientInstance
2025-11-26 17:30:24.225 (   0.008s) [         CA41480]     client_instance.cc:173      1| ClientInstance::Initialize
2025-11-26 17:30:26.270 (   2.053s) [         CA41480]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2025-11-26 17:30:26.270 (   2.054s) [         CA41480]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2025-11-26 17:30:26.270 (   2.054s) [         CA41480]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2025-11-26 17:30:26.270 (   2.054s) [         CA41480]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2025-11-26 17:30:26.270 (   2.054s) [         CA41480]     client_instance.cc:667      1| ClientInstance::PJRT_Client_PlatformVersion
2025-11-26 17:30:26.270 (   2.054s) [         CA41480]     client_instance.cc:648      1| ClientInstance::PJRT_Client_PlatformName
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     client_instance.cc:678      1| ClientInstance::PJRT_Client_Devices
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
